arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24116123,83458593,1,A00000150062,2016-02-14 00:00:00,2,N,51,5,47,M,1,2,R,,,,47,0
25307731,87004564,1,A00000154687,2016-09-11 00:00:00,2,N,45,5,60,F,1,2,N,,,,60,0
25804244,88605684,1,A00000151768,2016-05-09 00:00:00,3,N,11,5,35,F,1,2,N,,,,35,0
24534279,84662957,2,A00000150493,2016-03-16 00:00:00,1,N,23,5,26,M,1,2,N,,,,26,0
24535407,84662957,1,A00000150492,2016-03-16 00:00:00,1,N,23,5,28,M,1,2,N,,,,28,0
24395290,83887711,1,A00000150994,2016-04-06 00:00:00,2,N,14,5,25,F,1,2,N,,,,25,0
24695006,85116241,1,A00000150240,2016-06-23 00:00:00,1,N,16,5,29,F,1,2,N,,,,29,0
24695008,85116241,2,A00000150242,2016-06-23 00:00:00,1,N,16,5,27,M,1,2,N,,,,27,0
24265633,83887698,1,A00000150592,2016-03-19 00:00:00,1,N,16,5,23,M,1,2,N,,,,23,0
24265636,83887713,1,A00000150875,2016-03-31 00:00:00,2,N,51,5,41,F,1,2,R,,,,41,0
24396360,83887717,1,A00000150966,2016-04-04 00:00:00,2,N,16,5,18,M,1,2,N,,,,18,0
24265632,83887693,1,A00000150568,2016-03-18 00:00:00,3,C,23,5,27,F,1,2,R,,,,27,0
24265638,83887714,1,A00000150854,2016-03-30 00:00:00,2,N,16,5,41,M,1,2,R,,,,41,0
24265626,83887677,2,A00000150668,2016-03-23 00:00:00,2,N,23,5,43,M,1,2,N,,,,43,0
24265625,83887677,1,A00000150667,2016-03-23 00:00:00,2,N,23,5,33,F,1,2,N,,,,33,0
24265639,83887720,1,A00000150798,2016-03-28 00:00:00,1,N,23,5,25,F,1,2,N,,,,25,0
24868138,85116632,1,A00000153263,2016-07-20 00:00:00,2,N,5,5,58,M,1,2,R,,,,58,0
24534284,84661491,2,A00000150881,2016-03-31 00:00:00,3,N,23,5,14,F,1,2,R,R,,,14,0
24534283,84661491,1,A00000150880,2016-03-31 00:00:00,3,N,23,5,17,F,1,2,R,R,,,17,0
24265551,83887707,1,A00000150769,2016-03-21 00:00:00,2,N,23,5,29,M,1,2,N,,,,29,0
24265619,83886742,1,A00000150370,2016-03-10 00:00:00,1,N,16,5,18,F,1,2,R,,,,18,0
24534285,84661495,1,A00000151667,2016-05-05 00:00:00,2,N,23,5,48,M,2,2,N,,,,48,0
24870197,85621070,1,A00000152884,2016-03-03 00:00:00,2,N,16,5,33,M,1,2,N,,,,33,0
25448656,87430337,1,A00000150308,2016-03-06 00:00:00,1,N,16,5,30,M,1,2,N,,,,30,0
24535421,84662984,2,A00000151446,2016-04-25 00:00:00,1,N,28,5,24,M,1,2,R,,,,24,0
24535420,84662984,1,A00000151445,2016-04-25 00:00:00,1,N,28,5,27,F,1,2,N,,,,27,0
24535417,84662978,1,A00000151076,2016-04-10 00:00:00,3,N,51,5,30,F,1,2,N,,,,30,0
24535422,84662987,1,A00000151238,2016-04-16 00:00:00,2,N,51,5,20,M,1,2,R,,,,20,0
24395295,84264664,1,A00000151040,2016-04-08 00:00:00,3,N,51,5,25,M,1,2,R,,,,25,0
24396367,84263841,1,A00000151084,2016-04-10 00:00:00,1,N,23,5,35,F,2,2,R,,,,35,0
24535428,84264746,1,A00000151847,2016-05-12 00:00:00,2,N,23,5,32,F,1,2,N,,,,32,0
24534300,84264746,2,A00000151848,2016-05-15 00:00:00,3,N,23,5,23,M,2,2,R,,,,23,0
24396364,84263836,2,A00000151064,2016-04-09 00:00:00,3,N,51,5,28,F,1,2,R,,,,28,0
24396363,84263836,1,A00000151063,2016-04-09 00:00:00,3,N,51,5,42,M,1,2,R,,,,42,0
24870208,85116238,1,A00000153006,2016-07-01 00:00:00,2,N,35,5,33,M,1,2,R,,,,33,0
24395299,84264683,1,A00000151146,2016-04-13 00:00:00,2,N,51,5,20,M,1,2,R,,,,20,0
24396372,84263854,1,A00000151234,2016-04-16 00:00:00,1,N,51,5,44,M,1,2,R,,,,44,0
24695031,84661515,1,A00000152452,2016-06-08 00:00:00,2,N,49,5,13,M,1,2,R,R,,,13,0
24695034,84661515,2,A00000152453,2016-06-08 00:00:00,2,N,49,5,13,M,1,2,R,R,,,13,0
24535415,84662972,1,A00000150968,2016-04-04 00:00:00,2,N,51,5,41,M,1,2,R,,,,41,0
26706897,84663521,1,A00000160051,2017-05-06 00:00:00,1,N,28,5,54,M,1,2,N,,,,54,0
24535427,84264709,1,A00000151660,2016-05-13 00:00:00,3,N,41,5,42,M,1,2,N,,,,42,0
24694219,85116629,1,A00000151504,2016-04-22 00:00:00,2,N,51,5,47,F,1,2,R,,,,47,0
