property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
101515870,2,5,,98974166
101515874,7,200,,98973866
101516679,63,10,,98973870
101516668,10,26,,98973861
101515862,63,4,,98974156
101516677,3,12000,,98973869
101516674,63,35,,98974175
101515878,63,1270,,98974174
101515864,42,102,,98974158
101515863,17,3127,,98974157
101515869,20,61,,98973864
101516683,42,100,,98973875
101516682,7,1100,,98973874
101516680,13,600,,98973871
97193966,3,2500,,93381494
96434550,19,793,,92383247
96434549,19,793,2016-01-27 00:00:00,92383246
96795378,63,67,,92861449
96795152,63,1000,,92862298
96434547,61,99,,92383243
96435405,38,36,,92383046
96434548,19,116,2016-01-25 00:00:00,92383244
96435411,19,116,,92383245
96434545,10,,,92383241
96435404,36,320,,92383045
96434546,38,59,,92383050
96435409,38,59,2016-01-21 00:00:00,92383049
96435412,19,88,2016-01-26 00:00:00,92383051
96435414,19,88,,92383053
96435400,63,50,,92383042
96434541,19,29,,92383237
96435406,3,500,,92383240
96435408,20,150,,92383048
96435416,19,53,,92383055
96435415,19,53,2016-01-29 00:00:00,92383054
97919584,63,21,,94317660
97920196,63,17,2016-01-31 00:00:00,94317659
97920201,25,15,,94315978
97920201,20,428,,94315977
97920201,63,11,,94315979
96435413,63,2,,92383052
96435401,63,72,,92383043
96435403,63,20,,92383044
96435407,20,300,,92383047
101516725,52,0,,98973925
97919610,63,63,,94317680
97919592,19,550,2016-02-08 00:00:00,94317667
97919594,19,550,,94317668
96795164,19,550,2016-02-02 00:00:00,92862307
96795397,19,550,,92862308
96795465,19,173,2016-02-25 00:00:00,92861561
96796284,19,173,,92862456
96796324,6,74,2016-02-29 00:00:00,92862514
96796324,25,40,2016-02-29 00:00:00,92862519
96795492,6,74,,92861588
96795492,25,40,,92861589
97920230,10,,,94316011
97920230,63,10,,94316013
96795423,19,43,,92861505
96795422,19,43,2016-02-10 00:00:00,92861504
96796322,63,69,,92862513
96796321,63,69,2016-02-29 00:00:00,92862510
96796207,19,729,2016-02-05 00:00:00,92862363
96795420,19,729,,92861503
96796285,38,800,,92862458
96796243,7,300,,92862410
96796242,7,300,2016-02-19 00:00:00,92862409
97193990,63,0,,93380653
96795169,20,14,,92862310
