nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6926439,16071,11,2015,U,,,N,F,,C,2015_11_PA0111600_NIBRS,
6951514,16071,5,2015,U,,,N,F,,C,2015_05_PA0111600_NIBRS,
6989128,16071,9,2015,U,,,N,F,,C,2015_09_PA0111600_NIBRS,
6959203,16071,8,2015,U,,,N,F,,C,2015_08_PA0111600_NIBRS,
6977582,16071,1,2015,U,,,N,F,,C,2015_01_PA0111600_NIBRS,
6810059,16072,10,2015,U,,,N,F,,C,2015_10_PA0111700_NIBRS,
6813370,16072,9,2015,U,,,N,F,,C,2015_09_PA0111700_NIBRS,
6864238,16072,7,2015,U,,,N,F,,C,2015_07_PA0111700_NIBRS,
6824079,16072,8,2015,U,,,N,F,,C,2015_08_PA0111700_NIBRS,
6824473,16072,6,2015,U,,,N,F,,C,2015_06_PA0111700_NIBRS,
6895509,16072,3,2015,U,,,N,F,,C,2015_03_PA0111700_NIBRS,
6903991,16072,5,2015,U,,,N,F,,C,2015_05_PA0111700_NIBRS,
6952298,16072,11,2015,U,,,N,F,,C,2015_11_PA0111700_NIBRS,
7009650,16072,4,2015,U,,,N,F,,C,2015_04_PA0111700_NIBRS,
6954003,16072,2,2015,U,,,N,F,,C,2015_02_PA0111700_NIBRS,
7029408,16072,1,2015,U,,,N,F,,C,2015_01_PA0111700_NIBRS,
7018232,16072,12,2015,U,,,N,F,,C,2015_12_PA0111700_NIBRS,
6819669,16073,5,2015,U,,,N,F,,C,2015_05_PA0111800_NIBRS,
6820603,16073,9,2015,U,,,N,F,,C,2015_09_PA0111800_NIBRS,
6875447,16073,1,2015,U,,,N,F,,C,2015_01_PA0111800_NIBRS,
6853787,16073,11,2015,U,,,N,F,,C,2015_11_PA0111800_NIBRS,
6892725,16073,2,2015,U,,,N,F,,C,2015_02_PA0111800_NIBRS,
6934762,16073,4,2015,U,,,N,F,,C,2015_04_PA0111800_NIBRS,
7001816,16073,3,2015,U,,,N,F,,C,2015_03_PA0111800_NIBRS,
7006259,16073,8,2015,U,,,N,F,,C,2015_08_PA0111800_NIBRS,
6969219,16073,7,2015,U,,,N,F,,C,2015_07_PA0111800_NIBRS,
6983833,16073,12,2015,U,,,N,F,,C,2015_12_PA0111800_NIBRS,
7040723,16073,6,2015,U,,,N,F,,C,2015_06_PA0111800_NIBRS,
7017799,16073,10,2015,U,,,N,F,,C,2015_10_PA0111800_NIBRS,
6798886,16074,11,2015,U,,,N,F,,C,2015_11_PA0111900_NIBRS,
