agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17521,SC0072600,SC0072600,State Transport Police: Beaufort County,State Transport Police: Beaufort County,6,Other State Agency,,,,,45,SC,2413,Beaufort,45013,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,4,0,29016,32.358147,-80.68932
17497,SC0050100,SC0050100,Bamberg Police Department,Bamberg,1,City,,,9645,Bamberg,45,SC,2411,Bamberg,45009,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,3416,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,10,2,29003,33.203021,-81.053161
17798,SC0321000,SC0321000,South Congaree Police Department,South Congaree,1,City,,,9839,West Columbia,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2014,2015,2393,7,"Cities under 2,500",L,Y,N,12,12,7,,,,2016,6,1,29172,33.892556,-81.272851
17540,SC0090100,SC0090100,Cameron Police Department,Cameron,1,City,,,9663,Cameron,45,SC,2415,Calhoun,45017,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2014,2015,417,7,"Cities under 2,500",L,Y,N,12,12,4,,,,2016,1,0,29030,33.67478,-80.780347
17659,SC020FC00,SC020FC00,Forestry Commission: Fairfield County,Forestry Commission: Fairfield County,6,Other State Agency,,,,,45,SC,2426,Fairfield,45039,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2005,,2016,2014,2014,0,9D,"MSA counties under 10,000",L,Y,N,12,12,8,,,,2016,1,0,29221,34.395669,-81.127001
17600,SC0140300,SC0140300,Turbeville Police Department,Turbeville,1,City,,,9829,Turbeville,45,SC,2420,Clarendon,45027,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2002,808,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,3,1,29162,33.664682,-80.217889
17632,SC017FC00,SC017FC00,Forestry Commission: Dillon County,Forestry Commission: Dillon County,6,Other State Agency,,,,,45,SC,2423,Dillon,45033,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2011,1,0,29221,34.390172,-79.374964
17908,SC040FC00,SC040FC00,Forestry Commission: Richland County,Forestry Commission: Richland County,6,Other State Agency,,,,,45,SC,2446,Richland,45079,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,6,,,,2016,1,0,29221,34.029783,-80.896566
17793,SC0320500,SC0320500,West Columbia Police Department,West Columbia,1,City,,,9839,West Columbia,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,16051,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,50,12,29171,33.892556,-81.272851
17942,SC042SP00,SC042SP00,Highway Patrol: Spartanburg County,Highway Patrol: Spartanburg County,4,State Police,,,,,45,SC,2448,Spartanburg,45083,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,1992,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,39,0,29336,34.933239,-81.991053
17970,SC045NR00,SC045NR00,Department of Natural Resources: Williamsburg County,Department of Natural Resources: Williamsburg County,6,Other State Agency,,,,,45,SC,2451,Williamsburg,45089,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2015,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,6,,,,2016,4,0,29201,33.626463,-79.716475
17689,SC0230200,SC0230200,Greenville Police Department,Greenville,1,City,,,9718,Greenville,45,SC,2429,Greenville,45045,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,63011,3,"Cities from 50,000 thru 99,000",L,N,Y,12,12,10,,,,2016,182,48,29601,34.892645,-82.372077
17745,SC0272600,SC0272600,State Transport Police: Jasper County,State Transport Police: Jasper County,6,Other State Agency,,,,,45,SC,2433,Jasper,45053,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,,,,29016,32.43059,-81.021627
17720,SC0250600,SC0250600,Yemassee Police Department,Yemassee,1,City,,,9847,Yemassee,45,SC,2431,Hampton,45049,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1991,,2016,2013,2015,986,7,"Cities under 2,500",L,N,N,7,12,6,,,,2014,7,0,29945,32.778323,-81.143362
