suspect_using_id,offense_id
4,84226818
4,84226819
4,84233935
4,84233936
4,84235791
3,84223805
4,84223806
3,84223807
4,84223808
4,84223809
4,84231066
4,84226820
4,84235792
4,84235793
4,84235794
4,84223810
4,84226349
4,84226821
4,84223811
4,84226350
4,84226822
4,84223812
4,84230976
4,84233937
4,84235795
4,84226823
4,84230977
4,84226351
4,84230978
4,84231067
4,84233963
4,84235848
4,84235849
4,84235796
4,84230980
4,84230981
4,84236016
4,84226825
4,84235797
3,84233939
4,84231071
4,84230982
4,84226353
4,84226354
3,84235798
4,84230983
4,84230984
4,84226826
4,84231072
4,84233940
4,84226827
4,84226828
4,84233941
4,84230985
4,84233942
4,84230986
4,84230987
4,84231073
4,84226355
4,84226356
4,84235799
4,84233943
4,84235800
4,84231074
4,84236017
4,84231116
4,84226357
4,84226358
4,84233944
4,84230988
4,84231075
4,84231076
4,84233945
4,84233946
4,84226359
4,84226829
4,84233947
4,84226830
4,84226831
4,84236018
4,84235801
4,84236019
3,84236020
4,84230989
4,84233948
4,84231077
4,84236021
4,84236022
4,84226832
4,84230990
4,84230991
4,84231078
4,84226833
4,84233949
4,84233950
4,84233951
4,84235802
4,84233952
4,84226834
4,84226360
4,84226361
4,84230992
4,84230993
4,84231079
4,84226835
4,84233953
4,84236023
4,84230994
4,84226836
4,84226837
3,84235803
4,84236024
4,84235804
4,84231080
4,84231081
4,84231082
4,84231083
4,84231084
4,84236025
4,84230995
4,84233954
4,84226838
4,84226839
4,84226840
4,84231085
4,84231086
4,84230996
4,84226841
4,84233955
4,84230997
4,84233956
4,84233957
4,84231087
4,84231010
4,84233968
4,84236046
4,84236026
4,84226842
4,84231088
3,84236027
3,84236028
4,84233958
4,84233959
4,84231089
4,84226362
4,84226363
4,84226364
4,84226365
4,84239960
4,84239961
4,84239962
4,84226366
4,84231090
4,84230998
4,84233960
4,84233961
1,84235805
4,84230999
4,84239963
4,84231000
4,84226367
4,84226368
4,84235806
4,84231001
4,84233962
4,84236029
4,84231002
4,84226369
1,84231003
4,84233964
4,84233965
4,84233966
4,84235807
4,84236030
4,84231004
4,84226370
4,84239964
4,84231091
4,84231092
4,84226371
4,84239965
4,84231005
4,84231006
4,84231007
4,84231093
4,84226372
4,84226373
4,84226374
4,84231094
4,84231095
4,84231096
4,84235808
4,84226375
4,84226376
4,84239967
4,84236031
4,84233967
4,84231097
4,84231098
4,84226377
4,84235809
4,84235810
4,84231008
4,84226378
4,84231009
4,84226379
4,84236032
4,84236033
4,84231099
4,84231100
4,84239968
4,84231011
4,84235811
4,84231101
4,84239969
4,84226380
4,84239970
4,84231102
4,84236034
4,84236035
4,84236036
4,84236037
4,84236038
4,84235812
4,84236039
4,84235813
3,84231012
4,84233969
4,84231103
4,84236040
4,84236041
4,84226381
4,84236042
4,84236043
4,84239971
4,84236044
4,84235814
4,84235815
3,84235816
4,84233970
4,84233971
4,84231104
4,84235817
1,84231013
1,84239972
4,84226382
4,84231105
4,84235818
4,84231106
4,84231107
4,84226383
4,84236045
4,84233972
4,84235819
4,84236047
3,84233973
3,84233974
4,84226384
4,84236048
4,84233975
4,84236049
4,84233976
4,84235821
4,84236050
4,84233977
4,84233978
4,84239973
4,84226385
4,84235822
4,84236051
4,84236052
4,84236053
4,84233979
4,84239974
4,84239975
4,84226386
4,84236054
4,84226387
4,84231108
4,84239976
4,84233980
4,84235823
4,84239977
4,84236055
4,84233981
4,84239978
4,84239982
3,84233996
3,84233997
4,84231022
4,84235837
4,84239979
4,84231109
4,84226388
4,84231014
4,84226389
4,84236056
4,84236057
4,84226390
4,84226391
4,84226392
4,84236058
4,84226393
4,84226394
4,84231110
4,84233982
4,84231111
4,84233983
4,84233984
4,84231112
4,84239980
4,84239981
4,84231113
4,84231015
4,84231016
4,84226395
4,84236059
4,84236060
4,84236061
4,84236062
4,84231114
4,84235824
4,84226396
4,84226397
4,84239983
4,84231115
4,84235825
4,84235826
4,84235827
4,84236063
4,84226398
4,84231017
4,84233985
1,84231018
1,84231019
4,84235828
4,84226399
4,84231020
4,84233986
4,84226400
4,84226401
4,84231117
4,84235829
4,84235830
4,84226402
4,84233987
4,84233988
4,84235832
4,84235833
4,84226403
4,84239984
4,84231118
4,84231021
4,84235834
4,84233989
4,84239985
4,84235835
4,84235836
4,84226404
4,84231790
4,84234772
4,84236090
4,84239991
4,84236067
4,84231120
4,84235842
1,84231121
4,84235843
4,84236068
4,84235844
4,84231122
4,84226408
4,84226409
4,84226410
4,84226411
4,84239992
4,84235845
4,84235846
4,84235847
4,84231123
4,84233995
4,84236069
4,84226412
4,84226413
4,84235850
4,84226414
4,84226415
4,84226416
4,84236070
4,84233998
4,84235851
4,84239993
4,84235852
4,84236071
4,84236072
4,84240735
4,84233999
4,84231025
4,84226417
4,84235853
4,84234000
4,84240740
4,84240741
4,84239986
4,84233990
4,84231119
4,84233991
4,84233992
4,84239987
4,84239988
1,84231023
4,84235838
4,84235839
4,84235840
4,84235841
4,84231024
4,84234005
4,84236084
4,84240744
4,84226405
4,84226406
4,84233993
4,84233994
4,84226407
4,84236064
4,84239989
4,84239990
4,84236065
4,84236066
4,84226418
4,84226419
4,84226420
4,84235854
4,84226421
4,84236073
4,84226422
1,84236074
4,84236075
4,84231124
4,84226423
4,84226424
4,84226425
4,84240736
4,84235855
4,84231125
4,84231026
4,84235856
4,84226426
4,84226427
4,84231126
4,84240737
4,84240738
4,84235857
4,84231027
4,84240739
4,84226428
4,84234001
4,84231028
4,84231029
4,84231773
4,84235858
4,84236076
4,84236077
4,84227177
4,84227178
4,84231774
4,84235859
4,84236078
4,84236079
4,84240742
4,84235860
4,84231127
4,84231128
4,84234002
4,84236080
4,84231775
4,84231776
1,84235861
4,84231129
4,84231777
4,84227179
4,84235862
4,84227180
4,84234003
4,84235863
4,84231130
4,84235868
4,84231778
4,84234004
4,84231779
4,84231131
4,84231132
4,84236081
4,84231780
4,84231781
4,84236082
4,84240743
4,84231782
4,84234006
4,84236083
4,84231783
4,84231784
4,84227181
4,84234007
4,84234008
4,84234009
4,84235864
4,84235865
4,84234010
4,84231133
4,84231134
4,84236085
4,84227182
4,84231785
4,84234011
4,84231786
4,84231787
4,84227183
4,84227184
4,84231135
4,84231136
4,84235866
1,84236086
4,84227185
4,84234012
4,84231137
4,84234013
4,84234014
4,84236087
4,84231138
4,84234769
4,84235867
4,84240745
4,84234770
4,84240746
4,84240747
4,84231139
4,84227186
4,84240748
3,84240749
3,84240750
4,84236088
4,84240751
4,84231788
4,84231789
4,84236089
4,84227187
4,84240752
4,84231140
4,84234771
4,84231141
4,84240753
4,84240754
4,84236091
4,84236092
4,84235869
4,84231142
4,84236093
4,84235870
4,84235871
4,84236094
4,84227188
4,84231143
4,84227189
4,84236095
4,84235872
4,84231144
3,84227190
4,84234773
4,84240755
4,84227191
1,84231791
4,84227192
4,84234774
4,84234775
4,84231145
4,84234776
4,84240756
4,84235873
4,84231793
4,84236096
4,84240757
4,84231794
4,84234778
4,84235874
4,84231147
4,84227193
4,84231146
4,84234777
4,84231792
4,84231795
4,84231796
4,84231797
4,84234779
4,84231148
4,84227194
4,84234780
1,84227195
4,84231149
4,84235875
4,84227196
4,84227197
4,84231150
4,84235876
4,84240758
4,84234781
4,84236097
4,84227198
4,84227199
4,84235877
4,84240759
4,84234782
4,84231151
4,84235878
4,84240760
4,84236098
4,84227200
4,84231798
4,84231896
4,84227201
4,84234783
4,84227202
4,84227203
4,84235879
4,84231897
4,84227204
4,84234784
4,84227205
4,84234785
4,84235880
4,84240761
4,84240762
3,84236099
3,84236100
4,84231799
4,84227206
4,84231800
4,84231801
4,84231802
4,84235881
4,84231803
4,84231898
4,84231827
4,84231899
4,84227207
4,84234786
4,84227208
4,84240763
4,84240764
4,84240765
4,84234787
4,84231900
4,84231807
4,84240770
4,84243715
4,84234257
4,84240773
4,84231815
4,84236645
4,84227238
4,84236126
4,84234788
4,84234789
4,84231804
4,84236101
4,84236102
4,84236103
4,84240766
4,84240767
4,84231805
4,84235882
4,84231806
4,84235883
4,84240768
3,84227209
3,84227210
4,84227211
4,84236104
4,84236105
4,84236106
4,84231901
4,84231902
4,84231808
4,84231903
4,84236107
4,84227212
4,84240769
4,84231809
4,84235884
4,84236108
4,84236634
4,84238867
4,84242230
4,84236109
4,84236110
4,84236635
4,84236636
4,84227213
4,84240771
4,84234790
4,84231904
4,84234793
4,84236113
4,84231819
4,84236647
4,84234803
4,84234816
4,84240772
4,84236637
3,84236638
3,84236639
4,84231810
4,84231905
4,84234791
4,84234792
4,84236111
4,84231906
2,84236112
4,84231811
4,84236114
4,84236640
1,84227214
4,84234794
4,84227215
4,84231812
4,84236115
4,84236116
4,84231813
4,84236641
3,84240774
4,84240775
4,84240776
4,84227216
4,84231907
4,84227217
4,84231814
4,84231908
4,84236642
4,84234795
4,84227218
4,84236643
4,84236644
4,84236117
4,84234796
4,84234797
4,84231909
3,84236118
4,84227219
4,84236119
4,84234798
4,84227220
4,84227221
4,84234799
1,84227222
4,84227223
4,84227224
4,84240777
4,84240778
4,84240779
4,84234800
4,84231910
4,84240780
4,84240781
4,84231816
4,84231817
4,84236646
4,84227225
4,84227226
4,84240783
4,84227227
4,84227228
4,84231820
4,84240784
4,84227229
4,84231912
4,84236122
4,84236123
4,84231913
4,84227230
4,84240785
4,84231914
4,84236124
4,84231915
4,84234804
